Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-08-15 12:06:58.983 -0400,"Success",0:00:00,0,0,0,"20240815_120658.983/LogFile.txt","","",1
2024-08-15 12:07:15.259 -0400,"Failure",0:00:00,1,0,0,"20240815_120715.259/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'SUITE'",0
2024-08-15 12:07:44.723 -0400,"Success",0:00:00,0,0,0,"20240815_120744.723/LogFile.txt","","",1
2024-08-15 12:07:53.533 -0400,"Success",0:00:00,0,0,0,"20240815_120753.533/LogFile.txt","","",1
2024-08-15 12:08:00.613 -0400,"Failure",0:00:00,1,0,0,"20240815_120800.613/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'SUITEFOLDER'",0
2024-08-15 12:08:07.845 -0400,"Success",0:00:00,0,0,0,"20240815_120807.845/LogFile.txt","","",1
2024-08-15 12:08:44.163 -0400,"Success",0:00:00,0,0,0,"20240815_120844.163/LogFile.txt","","",1
2024-08-15 12:09:23.913 -0400,"Success",0:00:00,0,0,0,"20240815_120923.913/LogFile.txt","","",1
2024-08-15 12:09:28.500 -0400,"Success",0:00:00,0,0,0,"20240815_120928.500/LogFile.txt","","",1
2024-08-15 12:09:38.166 -0400,"Success",0:00:00,0,0,0,"20240815_120938.166/LogFile.txt","","",1
2024-08-15 12:09:45.933 -0400,"Failure",0:00:00,1,0,0,"20240815_120945.933/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'SCRIPT'",0
2024-08-15 12:09:53.024 -0400,"Failure",0:00:00,1,0,0,"20240815_120953.024/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'SUITE'",0
2024-08-15 12:10:00.523 -0400,"Failure",0:00:00,1,0,0,"20240815_121000.523/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'RESULTS'",0
2024-08-15 12:10:15.194 -0400,"Failure",0:00:00,1,0,0,"20240815_121015.194/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'RESULTS'",0
2024-08-15 12:14:42.355 -0400,"Success",0:00:00,0,0,0,"20240815_121442.355/LogFile.txt","","",1
2024-08-15 12:15:47.098 -0400,"Success",0:00:00,0,0,0,"20240815_121547.098/LogFile.txt","","",1
2024-08-15 12:19:08.229 -0400,"Success",0:00:00,0,0,0,"20240815_121908.229/LogFile.txt","","",1
2024-08-15 12:19:11.992 -0400,"Success",0:00:00,0,0,0,"20240815_121911.992/LogFile.txt","","",1
2024-08-15 12:21:14.999 -0400,"Aborted",0:16:20,1,0,0,"20240815_122114.999/LogFile.txt","","",0
2024-08-15 12:39:11.608 -0400,"Success",0:00:02,0,0,0,"20240815_123911.608/LogFile.txt","","",1
2024-08-15 12:40:25.903 -0400,"Aborted",0:00:43,1,0,0,"20240815_124025.903/LogFile.txt","","",0
2024-08-15 12:41:25.863 -0400,"Failure",0:00:00,1,0,0,"20240815_124125.863/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'index'",0
2024-08-15 12:41:33.954 -0400,"Success",0:00:00,0,0,0,"20240815_124133.954/LogFile.txt","","",1
2024-08-15 12:42:09.736 -0400,"Success",0:00:00,0,0,0,"20240815_124209.736/LogFile.txt","","",1
2024-08-15 12:43:56.088 -0400,"Success",0:00:00,0,0,0,"20240815_124356.088/LogFile.txt","","",1
2024-08-15 12:50:42.508 -0400,"Success",0:00:00,0,0,0,"20240815_125042.508/LogFile.txt","","",1
2024-08-15 12:54:07.219 -0400,"Success",0:00:00,0,0,0,"20240815_125407.219/LogFile.txt","","",1
2024-08-15 12:54:51.271 -0400,"Success",0:00:00,0,0,0,"20240815_125451.271/LogFile.txt","","",1
2024-08-15 12:56:29.411 -0400,"Success",0:00:00,0,0,0,"20240815_125629.411/LogFile.txt","","",1
2024-08-15 12:58:08.064 -0400,"Success",0:00:00,0,0,0,"20240815_125808.064/LogFile.txt","","",1
2024-08-15 12:58:24.114 -0400,"Success",0:00:00,0,0,0,"20240815_125824.114/LogFile.txt","","",1
2024-08-15 13:07:27.932 -0400,"Success",0:00:00,0,0,0,"20240815_130727.932/LogFile.txt","","",1
2024-08-15 13:10:02.446 -0400,"Aborted",0:01:21,1,0,0,"20240815_131002.446/LogFile.txt","","",0
2024-08-15 13:11:54.112 -0400,"Success",0:00:25,0,0,0,"20240815_131154.112/LogFile.txt","","",1
2024-08-15 13:16:25.725 -0400,"Aborted",0:00:26,1,0,0,"20240815_131625.725/LogFile.txt","","",0
